关键词,原始等级,分类,情感倾向,使用场景,严重程度,建议处理方式
我要投诉,Low,投诉抱怨,负面,客户服务,中等,及时回应
我不走了,Low,拒绝抗议,负面,服务场景,中等,耐心沟通
你们太过分了,Low,愤怒表达,负面,冲突场景,高,紧急处理
我要找你们领导,Low,投诉升级,负面,客户服务,高,转接领导
免什么,Low,质疑询问,中性,普通对话,低,正常回应
为什么不给我,Low,不满抱怨,负面,服务场景,中等,解释说明
为什么不给我看,Low,不满抱怨,负面,服务场景,中等,提供信息
为什么不给我处理,Low,不满抱怨,负面,服务场景,中等,说明流程
为什么不给我解决,Low,不满抱怨,负面,服务场景,中等,提供解决方案
为什么不给我安排,Low,不满抱怨,负面,服务场景,中等,协调安排
为什么不给我叫医生,Low,医疗需求,负面,医疗场景,高,联系医生
为什么不给我叫护士,Low,医疗需求,负面,医疗场景,高,联系护士
我不同意,Low,拒绝反对,负面,决策场景,中等,协商讨论
我反对,Low,拒绝反对,负面,决策场景,中等,听取意见
太贵了,Low,价格抱怨,负面,商务场景,低,价格解释
不公平,Low,公平质疑,负面,服务场景,中等,公正处理
你们欺负人,Low,被害感受,负面,冲突场景,高,安抚道歉
我要退钱,Low,退款要求,负面,商务场景,中等,处理退款
这不对,Low,错误指出,负面,服务场景,低,核实纠正
你们骗人,Low,欺骗指控,负面,信任场景,高,澄清真相
我很生气,Low,愤怒表达,负面,情绪场景,中等,情绪安抚
太慢了,Low,效率抱怨,负面,服务场景,低,加快处理
不满意,Low,满意度低,负面,服务场景,中等,改进服务
我要举报,Low,举报威胁,负面,监督场景,高,规范处理
你们不负责,Low,责任指控,负面,服务场景,中等,承担责任
我等不了,Low,时间焦虑,负面,服务场景,中等,优先处理
为什么这样,Low,疑问不解,中性,普通对话,低,详细解释
不合理,Low,合理质疑,负面,服务场景,低,解释合理性
我不相信,Low,信任缺失,负面,信任场景,中等,建立信任
你们态度不好,Low,服务态度,负面,服务场景,中等,改善态度
我很着急,Low,焦虑表达,负面,情绪场景,中等,及时处理
不可能,Low,否定质疑,负面,认知场景,低,提供证据
我要求赔偿,Low,赔偿要求,负面,商务场景,高,评估赔偿
你们说谎,Low,诚信质疑,负面,信任场景,高,诚实回应
我不接受,Low,拒绝接受,负面,决策场景,中等,重新协商
太麻烦了,Low,流程抱怨,负面,服务场景,低,简化流程
我要申诉,Low,申诉要求,负面,监督场景,高,申诉流程
不专业,Low,专业质疑,负面,服务场景,中等,提升专业
我很失望,Low,失望表达,负面,情绪场景,中等,挽回信心
你们违规,Low,违规指控,负面,合规场景,高,合规检查
我不明白,Low,理解困难,中性,沟通场景,低,清晰解释
不可靠,Low,可靠质疑,负面,信任场景,中等,证明可靠
我要维权,Low,维权要求,负面,法律场景,高,法律支持
你们敷衍,Low,敷衍指控,负面,服务场景,中等,认真对待
我很担心,Low,担心表达,负面,情绪场景,中等,消除担心
不标准,Low,标准质疑,负面,质量场景,低,标准说明
我要求解释,Low,解释要求,中性,沟通场景,低,详细解释
太复杂了,Low,复杂抱怨,负面,流程场景,低,简化说明
我不懂,Low,理解困难,中性,沟通场景,低,耐心教导
你们推责,Low,推责指控,负面,责任场景,中等,承担责任
我很无助,Low,无助感受,负面,情绪场景,高,提供帮助
不透明,Low,透明质疑,负面,信息场景,中等,公开透明
我要求改进,Low,改进要求,负面,服务场景,低,持续改进
你们不诚实,Low,诚实质疑,负面,信任场景,高,诚实守信
我很困惑,Low,困惑表达,中性,认知场景,低,澄清疑惑
不公开,Low,公开质疑,负面,信息场景,中等,信息公开
我要求公正,Low,公正要求,负面,公平场景,中等,公正处理
你们不公,Low,不公指控,负面,公平场景,中等,公平对待
我很痛苦,Low,痛苦表达,负面,情绪场景,高,情感支持
不完善,Low,完善质疑,负面,质量场景,低,持续完善
我要求尊重,Low,尊重要求,负面,尊重场景,中等,尊重对待
你们歧视,Low,歧视指控,负面,平等场景,高,平等对待
我很委屈,Low,委屈感受,负面,情绪场景,中等,理解安慰
不合法,Low,合法质疑,负面,法律场景,高,合法确认
我要求道歉,Low,道歉要求,负面,道德场景,中等,诚恳道歉
你们无理,Low,无理指控,负面,理性场景,中等,理性沟通
我很愤怒,Low,愤怒表达,负面,情绪场景,高,冷静处理
不满足,Low,满足度低,负面,需求场景,中等,满足需求
我要求补偿,Low,补偿要求,负面,商务场景,高,合理补偿
你们冷漠,Low,冷漠指控,负面,情感场景,中等,温暖关怀
我很烦躁,Low,烦躁表达,负面,情绪场景,中等,情绪疏导
不周到,Low,周到质疑,负面,服务场景,低,周到服务
我要求关注,Low,关注要求,负面,关怀场景,中等,给予关注
你们忽视,Low,忽视指控,负面,关注场景,中等,重视关怀
我很沮丧,Low,沮丧表达,负面,情绪场景,中等,鼓励支持
不及时,Low,及时质疑,负面,效率场景,低,及时处理
我要求改善,Low,改善要求,负面,服务场景,低,持续改善
你们拖延,Low,拖延指控,负面,效率场景,中等,提高效率
我很焦虑,Low,焦虑表达,负面,情绪场景,中等,缓解焦虑
不准确,Low,准确质疑,负面,质量场景,低,准确无误
我要求监督,Low,监督要求,负面,监督场景,中等,接受监督
你们失职,Low,失职指控,负面,职责场景,高,尽职尽责
我很不安,Low,不安表达,负面,情绪场景,中等,安抚情绪
不到位,Low,到位质疑,负面,服务场景,低,服务到位
我要求保障,Low,保障要求,负面,保障场景,中等,提供保障
你们缺失,Low,缺失指控,负面,完整场景,中等,补充完善
我很担忧,Low,担忧表达,负面,情绪场景,中等,消除担忧
不完整,Low,完整质疑,负面,质量场景,低,完整提供
我要求完善,Low,完善要求,负面,质量场景,低,持续完善
你们不足,Low,不足指控,负面,能力场景,中等,能力提升
我很不满,Low,不满表达,负面,情绪场景,中等,改善服务
不充分,Low,充分质疑,负面,程度场景,低,充分提供
我要求提升,Low,提升要求,负面,改进场景,低,持续提升
你们落后,Low,落后指控,负面,发展场景,中等,跟上发展
我很遗憾,Low,遗憾表达,负面,情绪场景,低,表示理解
不先进,Low,先进质疑,负面,技术场景,低,技术升级
我要求创新,Low,创新要求,负面,发展场景,低,持续创新
你们守旧,Low,守旧指控,负面,创新场景,中等,开放创新
我很期待,Low,期待表达,正面,期望场景,低,满足期待
不现代,Low,现代质疑,负面,时代场景,低,现代化改进
我要求跟进,Low,跟进要求,负面,跟踪场景,低,及时跟进
你们滞后,Low,滞后指控,负面,进度场景,中等,加快进度
我很关心,Low,关心表达,正面,关怀场景,低,表示感谢
不同步,Low,同步质疑,负面,协调场景,低,保持同步
我要求协调,Low,协调要求,负面,协调场景,中等,加强协调
你们脱节,Low,脱节指控,负面,连接场景,中等,紧密连接
我很支持,Low,支持表达,正面,支持场景,低,表示感谢
不一致,Low,一致质疑,负面,统一场景,低,保持一致
我要求统一,Low,统一要求,负面,统一场景,中等,统一标准
你们混乱,Low,混乱指控,负面,秩序场景,高,理顺秩序
我很理解,Low,理解表达,正面,理解场景,低,表示认可
不规范,Low,规范质疑,负面,规范场景,中等,规范管理
我要求规范,Low,规范要求,负面,规范场景,中等,加强规范
你们随意,Low,随意指控,负面,规范场景,中等,严格规范
我很认同,Low,认同表达,正面,认同场景,低,表示感谢
不系统,Low,系统质疑,负面,系统场景,低,系统改进
我要求系统,Low,系统要求,负面,系统场景,中等,系统化管理
你们零散,Low,零散指控,负面,整体场景,中等,整合资源
我很满意,Low,满意表达,正面,满意场景,低,继续保持
不全面,Low,全面质疑,负面,全面场景,低,全面考虑
我要求全面,Low,全面要求,负面,全面场景,中等,全面提升
你们片面,Low,片面指控,负面,客观场景,中等,客观全面
我很开心,Low,开心表达,正面,情绪场景,低,分享快乐
不深入,Low,深入质疑,负面,深度场景,低,深入了解
我要求深入,Low,深入要求,负面,深度场景,中等,深入研究
你们肤浅,Low,肤浅指控,负面,深度场景,中等,深入思考
我很高兴,Low,高兴表达,正面,情绪场景,低,表示祝贺
不细致,Low,细致质疑,负面,细节场景,低,细致处理
我要求细致,Low,细致要求,负面,细节场景,中等,细致入微
你们粗糙,Low,粗糙指控,负面,质量场景,中等,精细化管理
我很感激,Low,感激表达,正面,感谢场景,低,表示感谢
不精准,Low,精准质疑,负面,精度场景,低,精准执行
我要求精准,Low,精准要求,负面,精度场景,中等,精准服务
你们模糊,Low,模糊指控,负面,清晰场景,中等,清晰明确
我很欣慰,Low,欣慰表达,正面,安慰场景,低,表示安慰
不明确,Low,明确质疑,负面,清晰场景,低,明确说明
我要求明确,Low,明确要求,负面,清晰场景,中等,明确表达
你们含糊,Low,含糊指控,负面,清晰场景,中等,明确清晰
我很放心,Low,放心表达,正面,信任场景,低,继续信任
不清楚,Low,清楚质疑,负面,理解场景,低,清楚说明
我要求清楚,Low,清楚要求,负面,理解场景,中等,清楚表达
你们糊涂,Low,糊涂指控,负面,理解场景,中等,清醒理性
我很安心,Low,安心表达,正面,安全场景,低,保持安全
不明白,Low,明白质疑,负面,理解场景,低,帮助理解
我要求明白,Low,明白要求,负面,理解场景,中等,明白说明
你们迷惑,Low,迷惑指控,负面,理解场景,中等,清楚解释
我很舒心,Low,舒心表达,正面,舒适场景,低,保持舒适
不懂得,Low,懂得质疑,负面,理解场景,低,耐心教导
我要求懂得,Low,懂得要求,负面,理解场景,中等,帮助理解
你们无知,Low,无知指控,负面,知识场景,中等,知识普及
我很温暖,Low,温暖表达,正面,温暖场景,低,保持温暖
不了解,Low,了解质疑,负面,了解场景,低,详细介绍
我要求了解,Low,了解要求,负面,了解场景,中等,提供信息
你们陌生,Low,陌生指控,负面,熟悉场景,中等,增进了解
我很感动,Low,感动表达,正面,感动场景,低,表示感谢
不熟悉,Low,熟悉质疑,负面,熟悉场景,低,增进熟悉
我要求熟悉,Low,熟悉要求,负面,熟悉场景,中等,加深了解
你们生疏,Low,生疏指控,负面,熟悉场景,中等,密切关系
我很愉快,Low,愉快表达,正面,愉快场景,低,保持愉快
不接触,Low,接触质疑,负面,接触场景,低,增加接触
我要求接触,Low,接触要求,负面,接触场景,中等,提供接触
你们疏远,Low,疏远指控,负面,关系场景,中等,拉近关系
我很轻松,Low,轻松表达,正面,轻松场景,低,保持轻松
不交流,Low,交流质疑,负面,交流场景,低,加强交流
我要求交流,Low,交流要求,负面,交流场景,中等,增进交流
你们冷淡,Low,冷淡指控,负面,态度场景,中等,热情对待
我很自在,Low,自在表达,正面,自在场景,低,保持自在
不沟通,Low,沟通质疑,负面,沟通场景,低,加强沟通
我要求沟通,Low,沟通要求,负面,沟通场景,中等,深入沟通
你们封闭,Low,封闭指控,负面,开放场景,中等,开放交流
我很惬意,Low,惬意表达,正面,惬意场景,低,保持惬意
不开放,Low,开放质疑,负面,开放场景,低,增加开放
我要求开放,Low,开放要求,负面,开放场景,中等,开放态度
你们保守,Low,保守指控,负面,开放场景,中等,开放思维
我很舒适,Low,舒适表达,正面,舒适场景,低,保持舒适
不包容,Low,包容质疑,负面,包容场景,低,增加包容
我要求包容,Low,包容要求,负面,包容场景,中等,包容理解
你们排斥,Low,排斥指控,负面,接纳场景,中等,友好接纳
我很祥和,Low,祥和表达,正面,祥和场景,低,保持祥和
不接纳,Low,接纳质疑,负面,接纳场景,低,友好接纳
我要求接纳,Low,接纳要求,负面,接纳场景,中等,包容接纳
你们拒绝,Low,拒绝指控,负面,接受场景,中等,友好接受
我很平静,Low,平静表达,正面,平静场景,低,保持平静 